case_label,variant,model,scenario,fn_cost,fp_cost,retention_rate,threshold,expected_net_value,tp,fp,fn,tn,recall,precision,f1
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.23,150840.0,92,1227,17,352,0.8440366972477065,0.06974981046247157,0.12885154061624648
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.24,153480.0,91,1178,18,401,0.8348623853211009,0.07171000788022065,0.1320754716981132
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.25,157680.0,91,1143,18,436,0.8348623853211009,0.07374392220421394,0.1355174981384959
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.26,155760.0,89,1105,20,474,0.8165137614678899,0.0745393634840871,0.13660782808902533
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.27,154080.0,87,1065,22,514,0.7981651376146789,0.07552083333333333,0.1379857256145916
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.28,146640.0,83,1019,26,560,0.7614678899082569,0.07531760435571688,0.1370767960363336
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.29,145800.0,81,972,28,607,0.7431192660550459,0.07692307692307693,0.13941480206540446
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.3,131400.0,75,930,34,649,0.6880733944954128,0.07462686567164178,0.13464991023339318
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.31,129000.0,72,869,37,710,0.6605504587155964,0.0765143464399575,0.13714285714285715
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.32,123240.0,69,836,40,743,0.6330275229357798,0.07624309392265194,0.13609467455621302
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.33,118560.0,66,794,43,785,0.6055045871559633,0.07674418604651163,0.13622291021671826
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.34,112320.0,63,765,46,814,0.5779816513761468,0.07608695652173914,0.1344717182497332
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.35,110640.0,61,725,48,854,0.5596330275229358,0.07760814249363868,0.13631284916201117
LR_no_zip_f1,without_billing_zip,LogisticRegression_SMOTE,paper_baseline,5400.0,120.0,0.6,0.36,102600.0,57,684,52,895,0.5229357798165137,0.07692307692307693,0.13411764705882354
