variant,family,model_name,train_kind,threshold,f1,f2,recall,precision,accuracy,balanced_accuracy,roc_auc,pr_auc,mcc,tp,fp,fn,tn,predicted_positive_rate
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.71,0.046511627906976744,0.03289473684210526,0.027522935779816515,0.15,0.9270895080023711,0.5083749026174115,0.5841240218136998,0.10114705953618708,0.0380446604296621,3,17,106,1561,0.011855364552459988
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.72,0.048,0.033185840707964605,0.027522935779816515,0.1875,0.9294605809128631,0.5096423297403518,0.5841240218136998,0.10114705953618708,0.04891369901451635,3,13,106,1565,0.00948429164196799
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.73,0.032520325203252036,0.022222222222222223,0.01834862385321101,0.14285714285714285,0.9294605809128631,0.5053720305577842,0.5841240218136998,0.10114705953618708,0.029115431451864692,2,12,107,1566,0.008298755186721992
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.74,0.032520325203252036,0.022222222222222223,0.01834862385321101,0.14285714285714285,0.9294605809128631,0.5053720305577842,0.5841240218136998,0.10114705953618708,0.029115431451864692,2,12,107,1566,0.008298755186721992
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.75,0.01639344262295082,0.011135857461024499,0.009174311926605505,0.07692307692307693,0.9288678126852401,0.5007848745944815,0.5841240218136998,0.10114705953618708,0.004413139062970722,1,12,108,1566,0.007705986959098993
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.76,0.01694915254237288,0.011235955056179775,0.009174311926605505,0.1111111111111111,0.9312388855957321,0.5020523017174219,0.5841240218136998,0.10114705953618708,0.013852262718637322,1,8,108,1570,0.005334914048606995
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.77,0.0,0.0,0.0,0.0,0.9318316538233551,0.49809885931558934,0.5841240218136998,0.10114705953618708,-0.015701875083666984,0,6,109,1572,0.0035566093657379964
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.78,0.0,0.0,0.0,0.0,0.9324244220509781,0.49841571609632446,0.5841240218136998,0.10114705953618708,-0.014329523728931773,0,5,109,1573,0.002963841138114997
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.79,0.0,0.0,0.0,0.0,0.9330171902786011,0.4987325728770596,0.5841240218136998,0.10114705953618708,-0.012812907392210521,0,4,109,1574,0.0023710729104919974
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.03,original,0.8,0.0,0.0,0.0,0.0,0.9330171902786011,0.4987325728770596,0.5841240218136998,0.10114705953618708,-0.012812907392210521,0,4,109,1574,0.0023710729104919974
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.01,0.12171970965940815,0.25731822474032107,1.0,0.06480380499405469,0.06757557794902193,0.5015842839036755,0.5821007895257032,0.1021883969697395,0.014329523728931773,109,1573,0,5,0.997036158861885
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.02,0.1218557853549469,0.2575614366729679,1.0,0.06488095238095239,0.06876111440426794,0.5022179974651457,0.5821007895257032,0.1021883969697395,0.01696501033994349,109,1571,0,7,0.995850622406639
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.03,0.12192393736017897,0.2576832151300236,1.0,0.06491959499702203,0.06935388263189093,0.5025348542458808,0.5821007895257032,0.1021883969697395,0.01814175906680867,109,1570,0,8,0.995257854179016
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.04,0.12199216564073867,0.2578051087984863,1.0,0.06495828367103695,0.06994665085951393,0.502851711026616,0.5821007895257032,0.1021883969697395,0.01924797411753996,109,1569,0,9,0.994665085951393
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.05,0.12100840336134454,0.2556818181818182,0.9908256880733946,0.06443914081145585,0.06994665085951393,0.49858141184404836,0.5821007895257032,0.1021883969697395,-0.008666020735855297,108,1568,1,10,0.993479549496147
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.06,0.12100840336134454,0.2556818181818182,0.9908256880733946,0.06443914081145585,0.06994665085951393,0.49858141184404836,0.5821007895257032,0.1021883969697395,-0.008666020735855297,108,1568,1,10,0.993479549496147
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.07,0.1210762331838565,0.25580293699668405,0.9908256880733946,0.06447761194029851,0.07053941908713693,0.4988982686247835,0.5821007895257032,0.1021883969697395,-0.00644576447926058,108,1567,1,11,0.992886781268524
with_billing_zip,LogisticRegression,LogisticRegression_original_balanced_C0.1,original,0.08,0.1210762331838565,0.25580293699668405,0.9908256880733946,0.06447761194029851,0.07053941908713693,0.4988982686247835,0.5821007895257032,0.1021883969697395,-0.00644576447926058,108,1567,1,11,0.992886781268524
