column_ko,column_description,group,rows,yes_count,no_count,yes_rate,no_rate,yes_rate_percent,no_rate_percent,path
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4000,1606,113,1493,0.07036114570361146,0.9296388542963886,7.036114570361146,92.96388542963886,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4000_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4002,303,21,282,0.06930693069306931,0.9306930693069307,6.9306930693069315,93.06930693069307,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4002_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6300,338,23,315,0.06804733727810651,0.9319526627218935,6.804733727810651,93.19526627218934,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6300_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4180,30,2,28,0.06666666666666667,0.9333333333333333,6.666666666666667,93.33333333333333,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4180_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4400,467,29,438,0.06209850107066381,0.9379014989293362,6.209850107066381,93.79014989293361,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4400_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4003,400,23,377,0.0575,0.9425,5.75,94.25,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4003_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4150,71,4,67,0.056338028169014086,0.9436619718309859,5.633802816901409,94.36619718309859,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4150_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4470,18,1,17,0.05555555555555555,0.9444444444444444,5.555555555555555,94.44444444444444,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4470_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4500,94,5,89,0.05319148936170213,0.9468085106382979,5.319148936170213,94.68085106382979,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4500_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6000,1142,58,1084,0.050788091068301226,0.9492119089316988,5.078809106830122,94.92119089316988,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6000_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4640,21,1,20,0.047619047619047616,0.9523809523809523,4.761904761904762,95.23809523809523,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4640_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4300,132,6,126,0.045454545454545456,0.9545454545454546,4.545454545454546,95.45454545454545,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4300_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4101,22,1,21,0.045454545454545456,0.9545454545454546,4.545454545454546,95.45454545454545,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4101_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4220,26,1,25,0.038461538461538464,0.9615384615384616,3.8461538461538463,96.15384615384616,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4220_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4023,262,10,252,0.03816793893129771,0.9618320610687023,3.816793893129771,96.18320610687023,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4023_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6400,237,9,228,0.0379746835443038,0.9620253164556962,3.79746835443038,96.20253164556962,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6400_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6100,257,9,248,0.03501945525291829,0.9649805447470817,3.501945525291829,96.49805447470817,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6100_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,6200,32,1,31,0.03125,0.96875,3.125,96.875,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_6200_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4020,35,1,34,0.02857142857142857,0.9714285714285714,2.857142857142857,97.14285714285714,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4020_churn.csv
청구 우편번호,고객 청구지 우편번호다. 지역별 이탈 신호를 확인하는 데 사용한다.,4270,73,2,71,0.0273972602739726,0.9726027397260274,2.73972602739726,97.26027397260275,processed\column_split_datasets\02_category_value_subsets\Billing_ZIP\zip_4270_churn.csv
